id,企划,资源类型,系列,名称,别名,年份,格式,大小,网盘路径,分享链接,提取码,有效期,状态,更新时间,排序值
resource-16bc7a6f34e6,765AS,CD,[01] Drama CD,[2005.12.22] THE iDOLM@STER Drama CD - Scene 01 (FLAC),,2005,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[01] Drama CD/[2005.12.22] THE iDOLM@STER Drama CD - Scene 01 (FLAC).rar,,imas,永久,待分享,,1560
resource-b149554c422e,765AS,CD,[01] Drama CD,[2006.02.24] THE iDOLM@STER Drama CD - Scene 02 (FLAC),,2006,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[01] Drama CD/[2006.02.24] THE iDOLM@STER Drama CD - Scene 02 (FLAC).rar,,imas,永久,待分享,,1570
resource-d32b12cb95cc,765AS,CD,[01] Drama CD,[2006.03.24] THE iDOLM@STER Drama CD - Scene 03 (FLAC),,2006,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[01] Drama CD/[2006.03.24] THE iDOLM@STER Drama CD - Scene 03 (FLAC).rar,,imas,永久,待分享,,1580
resource-03990ccaf858,765AS,CD,[01] Drama CD,[2006.04.21] THE iDOLM@STER Drama CD - Scene 04 (FLAC),,2006,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[01] Drama CD/[2006.04.21] THE iDOLM@STER Drama CD - Scene 04 (FLAC).rar,,imas,永久,待分享,,1590
resource-c41957fcd888,765AS,CD,[01] Drama CD,[2006.06.23] THE iDOLM@STER Drama CD - Scene 05 EXTRA STAGE 1 (FLAC),,2006,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[01] Drama CD/[2006.06.23] THE iDOLM@STER Drama CD - Scene 05 EXTRA STAGE 1 (FLAC).rar,,imas,永久,待分享,,1600
resource-e4bf917171aa,765AS,CD,[01] Drama CD,[2006.07.21] THE iDOLM@STER Drama CD - Scene 06 EXTRA STAGE 2 (FLAC),,2006,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[01] Drama CD/[2006.07.21] THE iDOLM@STER Drama CD - Scene 06 EXTRA STAGE 2 (FLAC).rar,,imas,永久,待分享,,1610
resource-1a1cbed8ae55,765AS,CD,[02] Drama CD NEW STAGE,[2006.12.22] THE iDOLM@STER Drama CD - NEW STAGE 01 (FLAC),,2006,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[02] Drama CD NEW STAGE/[2006.12.22] THE iDOLM@STER Drama CD - NEW STAGE 01 (FLAC).rar,,imas,永久,待分享,,1620
resource-f6127124424f,765AS,CD,[02] Drama CD NEW STAGE,[2007.01.25] THE iDOLM@STER Drama CD - NEW STAGE 02 (FLAC),,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[02] Drama CD NEW STAGE/[2007.01.25] THE iDOLM@STER Drama CD - NEW STAGE 02 (FLAC).rar,,imas,永久,待分享,,1630
resource-691350d7e72b,765AS,CD,[02] Drama CD NEW STAGE,[2007.02.23] THE iDOLM@STER Drama CD - NEW STAGE 03 (FLAC),,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[02] Drama CD NEW STAGE/[2007.02.23] THE iDOLM@STER Drama CD - NEW STAGE 03 (FLAC).rar,,imas,永久,待分享,,1640
resource-b5465e0a746e,765AS,CD,[03] Eternal Prism,[2008.12.25] THE iDOLM@STER Drama CD - Eternal Prism 01 (FLAC),,2008,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[03] Eternal Prism/[2008.12.25] THE iDOLM@STER Drama CD - Eternal Prism 01 (FLAC).rar,,imas,永久,待分享,,1650
resource-800969df25dd,765AS,CD,[03] Eternal Prism,[2009.01.23] THE iDOLM@STER Drama CD - Eternal Prism 02 (FLAC),,2009,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[03] Eternal Prism/[2009.01.23] THE iDOLM@STER Drama CD - Eternal Prism 02 (FLAC).rar,,imas,永久,待分享,,1660
resource-7a9da5ceb27b,765AS,CD,[03] Eternal Prism,[2009.02.25] THE iDOLM@STER Drama CD - Eternal Prism 03 (FLAC),,2009,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[03] Eternal Prism/[2009.02.25] THE iDOLM@STER Drama CD - Eternal Prism 03 (FLAC).rar,,imas,永久,待分享,,1670
resource-bfab11c0e1ad,765AS,CD,[03] Eternal Prism,[2009.05] THE iDOLM@STER Drama CD - Eternal Prism Premium CD (FLAC),,2009,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/[03] Eternal Prism/[2009.05] THE iDOLM@STER Drama CD - Eternal Prism Premium CD (FLAC).rar,,imas,永久,待分享,,1680
resource-2c73c4a3f736,765AS,CD,[00E] 广播剧,2014.05.15 [N／A] THE iDOLM@STER ONE FOR ALL スペシャルドラマCD「765プロが行く! トップアイドルのお仕事見学」,,2014,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/2014.05.15 [N／A] THE iDOLM@STER ONE FOR ALL スペシャルドラマCD「765プロが行く! トップアイドルのお仕事見学」.rar,,imas,永久,待分享,,1690
resource-f5bdf5ea193d,765AS,CD,[00E] 广播剧,2017.12.21 [IDOLMASTER_CD] THE iDOLM@STER STELLA STAGE ドラマCD「売り込め! アイドルアピール大作戦!!」,,2017,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00E] 广播剧/2017.12.21 [IDOLMASTER_CD] THE iDOLM@STER STELLA STAGE ドラマCD「売り込め! アイドルアピール大作戦!!」.rar,,imas,永久,待分享,,1700
resource-b07d4efecd40,765AS,CD,[1] Birthday Commemoration Project,2006.04.24 [765PRO-0001] THE iDOLM@STER Vol. 2 Chihaya Kisaragi Gratitude,,2006,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[1] Birthday Commemoration Project/2006.04.24 [765PRO-0001] THE iDOLM@STER Vol. 2 Chihaya Kisaragi Gratitude.rar,,imas,永久,待分享,,1710
resource-8ffd36ca1989,765AS,CD,[1] Birthday Commemoration Project,2006.04.24 [765PRO-0002] THE iDOLM@STER Vol. 4 Haruka Amami Unhappy Birthday,,2006,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[1] Birthday Commemoration Project/2006.04.24 [765PRO-0002] THE iDOLM@STER Vol. 4 Haruka Amami Unhappy Birthday.rar,,imas,永久,待分享,,1720
resource-733f725019f6,765AS,CD,[1] Birthday Commemoration Project,2007.02.00 [765PRO-0004~5] THE iDOLM@STER Vol. 6 AmiMami Futami Super Birthday!!,,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[1] Birthday Commemoration Project/2007.02.00 [765PRO-0004~5] THE iDOLM@STER Vol. 6 AmiMami Futami Super Birthday!!.rar,,imas,永久,待分享,,1730
resource-b6c6f84eec22,765AS,CD,[1] Birthday Commemoration Project,2007.04.24 [765PRO-0007] THE iDOLM@STER Vol. 2 Chihaya Kisaragi Gratitude [animate独占販売],,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[1] Birthday Commemoration Project/2007.04.24 [765PRO-0007] THE iDOLM@STER Vol. 2 Chihaya Kisaragi Gratitude [animate独占販売].rar,,imas,永久,待分享,,1740
resource-13bcd2302980,765AS,CD,[1] Birthday Commemoration Project,2007.06.23 [765PRO-0006] THE iDOLM@STER Vol. 7 Ritsuko Akizuki Sound of Raindrops,,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[1] Birthday Commemoration Project/2007.06.23 [765PRO-0006] THE iDOLM@STER Vol. 7 Ritsuko Akizuki Sound of Raindrops.rar,,imas,永久,待分享,,1750
resource-81af0c104e9b,765AS,CD,[1] Birthday Commemoration Project,"2008.01.00 [765PRO-0008] THE iDOLM@STER Vol. 9 Makoto Kikuchi Hare Tokidoki Kumori Nochi Taifuu, Nochi Hare",,2008,RAR,,"/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[1] Birthday Commemoration Project/2008.01.00 [765PRO-0008] THE iDOLM@STER Vol. 9 Makoto Kikuchi Hare Tokidoki Kumori Nochi Taifuu, Nochi Hare.rar",,imas,永久,待分享,,1760
resource-58ab1b1c5839,765AS,CD,[2] VOCAL COLLECTION,[2010.02.24] THE iDOLM@STER Vocal Collection 01 (FLAC),,2010,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2] VOCAL COLLECTION/[2010.02.24] THE iDOLM@STER Vocal Collection 01 (FLAC).rar,,imas,永久,待分享,,1770
resource-b01b212e7ca7,765AS,CD,[2] VOCAL COLLECTION,[2010.04.21] THE iDOLM@STER Vocal Collection 02 (FLAC),,2010,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2] VOCAL COLLECTION/[2010.04.21] THE iDOLM@STER Vocal Collection 02 (FLAC).rar,,imas,永久,待分享,,1780
resource-23251d5e47a1,765AS,CD,[3] MUSIC DISC COLLECTION,[2013.07] MAKOTO & HIBIKI COVER -SUMMER SONGS-,,2013,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[3] MUSIC DISC COLLECTION/[2013.07] MAKOTO & HIBIKI COVER -SUMMER SONGS-.rar,,imas,永久,待分享,,1790
resource-50df0cbb1379,765AS,CD,[3] MUSIC DISC COLLECTION,[2013.07] YAYOI & YUKIHO COVER -SUMMER SONGS-,,2013,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[3] MUSIC DISC COLLECTION/[2013.07] YAYOI & YUKIHO COVER -SUMMER SONGS-.rar,,imas,永久,待分享,,1800
resource-bf8e2c6eaec1,765AS,CD,[3] MUSIC DISC COLLECTION,[2014.01] AMI／MAMI & AZUSA COVER -WINTER SONGS-,,2014,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[3] MUSIC DISC COLLECTION/[2014.01] AMI／MAMI & AZUSA COVER -WINTER SONGS-.rar,,imas,永久,待分享,,1810
resource-dc5b187406ee,765AS,CD,[3] MUSIC DISC COLLECTION,[2014.01] HARUKA & CHIHAYA COVER -WINTER SONGS-,,2014,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[3] MUSIC DISC COLLECTION/[2014.01] HARUKA & CHIHAYA COVER -WINTER SONGS-.rar,,imas,永久,待分享,,1820
resource-040cd250fa43,765AS,CD,[3] MUSIC DISC COLLECTION,[2014.06] IORI & RITSUKO COVER -SPRING SONGS-,,2014,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[3] MUSIC DISC COLLECTION/[2014.06] IORI & RITSUKO COVER -SPRING SONGS-.rar,,imas,永久,待分享,,1830
resource-d912a107fac7,765AS,CD,[3] MUSIC DISC COLLECTION,[2014.06] MIKI & TAKANE COVER -SPRING SONGS-,,2014,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[3] MUSIC DISC COLLECTION/[2014.06] MIKI & TAKANE COVER -SPRING SONGS-.rar,,imas,永久,待分享,,1840
resource-4c63b870d5a2,765AS,CD,[00Y] 其他,[2006.02.14] [Enterbrain] THE iDOLM@STER DVD Lovable Days,,2006,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2006.02.14] [Enterbrain] THE iDOLM@STER DVD Lovable Days.rar,,imas,永久,待分享,,1850
resource-07eb1c544d5d,765AS,CD,[00Y] 其他,[2007.01.18] [765PRO-0003] THE iDOLM@STER YOUR SONG,,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2007.01.18] [765PRO-0003] THE iDOLM@STER YOUR SONG.rar,,imas,永久,待分享,,1860
resource-21cbcce79833,765AS,CD,[00Y] 其他,[2008.11.19] THE iDOLM@STER BEST ALBUM MASTER OF MASTER (FLAC),,2008,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2008.11.19] THE iDOLM@STER BEST ALBUM MASTER OF MASTER (FLAC).rar,,imas,永久,待分享,,1870
resource-25faaa08bbdb,765AS,CD,[00Y] 其他,[2011.02.09] THE iDOLM@STER 2 「SMOKY THRILL」 (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2011.02.09] THE iDOLM@STER 2 「SMOKY THRILL」 (FLAC).rar,,imas,永久,待分享,,1880
resource-42e7cc29ef81,765AS,CD,[00Y] 其他,[2011.02.09] THE iDOLM@STER 2 「The world is all one!!」 (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2011.02.09] THE iDOLM@STER 2 「The world is all one!!」 (FLAC).rar,,imas,永久,待分享,,1890
resource-8c64d824e5b4,765AS,CD,[00Y] 其他,[2011.10.27] アイドルマスター2・ゲームサウンドトラックCD (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2011.10.27] アイドルマスター2・ゲームサウンドトラックCD (FLAC).rar,,imas,永久,待分享,,1900
resource-97460b1761d9,765AS,CD,[00Y] 其他,[2011.11.23] THE iDOLM@STER Jupiter (FLAC),,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2011.11.23] THE iDOLM@STER Jupiter (FLAC).rar,,imas,永久,待分享,,1910
resource-42730e535874,765AS,CD,[00Y] 其他,[2012.10.27] [BP-001] THE iDOLM@STER Catch me☆Get you! ～バンプレストのうた～,,2012,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2012.10.27] [BP-001] THE iDOLM@STER Catch me☆Get you! ～バンプレストのうた～.rar,,imas,永久,待分享,,1920
resource-53ebe8765d0c,765AS,CD,[00Y] 其他,[2013.00.00] [PRJL-13007] THE iDOLM＠STER Wミリオン記念 アナログ盤,,2013,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2013.00.00] [PRJL-13007] THE iDOLM＠STER Wミリオン記念 アナログ盤.rar,,imas,永久,待分享,,1930
resource-840a14ff5901,765AS,CD,[00Y] 其他,[2014.12.28] [TGCS-8444~5] THE iDOLM@STER ORIGINAL CD SET - 1111 BRIGHTS and MAGICS -,,2014,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2014.12.28] [TGCS-8444~5] THE iDOLM@STER ORIGINAL CD SET - 1111 BRIGHTS and MAGICS -.rar,,imas,永久,待分享,,1940
resource-ee5d98eebe41,765AS,CD,[00Y] 其他,[2017.05.00] [N／A] THE iDOLM@STER THREE STARS!!!,,2017,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2017.05.00] [N／A] THE iDOLM@STER THREE STARS!!!.rar,,imas,永久,待分享,,1950
resource-2b8faeca49ee,765AS,CD,[00Y] 其他,[2021.07.28] ゲーム『THE IDOLM@STER POPLINKS』テーマ曲「POP LINKS TUNE!!!!!」[320K],,2021,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2021.07.28] ゲーム『THE IDOLM@STER POPLINKS』テーマ曲「POP LINKS TUNE!!!!!」[320K].rar,,imas,永久,待分享,,1960
resource-7f0e448b3045,765AS,CD,[00Y] 其他,[2023.02.08] ANCF-0076~8 THE IDOLM@STER ORCHESTRA CONCERT ～SYMPHONY OF FIVE STARS!!!!!～ コンサートアルバム,,2023,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Y] 其他/[2023.02.08] ANCF-0076~8 THE IDOLM@STER ORCHESTRA CONCERT ～SYMPHONY OF FIVE STARS!!!!!～ コンサートアルバム.rar,,imas,永久,待分享,,1970
resource-a474bf653898,765AS,CD,1 Solo Remix Original CD,[2023.11.01] THE IDOLM@STER M@STER EXPO【765PRO ALLSTARS盘】,,2023,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/[2023.11.01] THE IDOLM@STER M@STER EXPO【765PRO ALLSTARS盘】.rar,,imas,永久,待分享,,1980
resource-f37c1534f246,765AS,CD,1 Solo Remix Original CD,2011 THE IDOLM@STER 2 765pro H@PPINESS NEW YE@R P@RTY !! 2011,,2011,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2011 THE IDOLM@STER 2 765pro H@PPINESS NEW YE@R P@RTY !! 2011.rar,,imas,永久,待分享,,1990
resource-79983d303cb2,765AS,CD,1 Solo Remix Original CD,2014 THE IDOLM@STER 9th Anniversary WE ARE M@STERPIECE!! Jibun REST@RT & SMOKY THRILL,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2014 THE IDOLM@STER 9th Anniversary WE ARE M@STERPIECE!! Jibun REST@RT & SMOKY THRILL.rar,,imas,永久,待分享,,2000
resource-daab09f56bb8,765AS,CD,1 Solo Remix Original CD,2014 THE IDOLM@STER 9th Anniversary WE ARE M@STERPIECE!! We Have A Dream & Curtain Call,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2014 THE IDOLM@STER 9th Anniversary WE ARE M@STERPIECE!! We Have A Dream & Curtain Call.rar,,imas,永久,待分享,,2010
resource-af40bd899d2d,765AS,CD,1 Solo Remix Original CD,2014 THE IDOLM@STER M@STERS OF IDOL WORLD!!2014,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2014 THE IDOLM@STER M@STERS OF IDOL WORLD!!2014.rar,,imas,永久,待分享,,2020
resource-31a27fa9bd58,765AS,CD,1 Solo Remix Original CD,2015 THE IDOLM@STER M@STERS OF IDOL WORLD!! 2015 M@STERPIECE & 10th Anniversary MIX,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2015 THE IDOLM@STER M@STERS OF IDOL WORLD!! 2015 M@STERPIECE & 10th Anniversary MIX.rar,,imas,永久,待分享,,2030
resource-39957294d5fb,765AS,CD,1 Solo Remix Original CD,2015 THE IDOLM@STER M@STERS OF IDOL WORLD!! 2015 PERFECT BOX 付属CD「アイ MUST GO!」,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2015 THE IDOLM@STER M@STERS OF IDOL WORLD!! 2015 PERFECT BOX 付属CD「アイ MUST GO!」.rar,,imas,永久,待分享,,2040
resource-7f46127ca522,765AS,CD,1 Solo Remix Original CD,2018 THE IDOLM@STER ニューイヤーライブ!! 初星宴舞,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2018 THE IDOLM@STER ニューイヤーライブ!! 初星宴舞.rar,,imas,永久,待分享,,2050
resource-768ae923e0b5,765AS,CD,1 Solo Remix Original CD,2019.07.31 [LAPP-1111] THE iDOLM@STER PRODUCER MEETING 2018 What is TOP!!!!!!!!!!!!!？「みんなで選ぶ!ユニットソング!!」LIVE音源CD,,2019,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2019.07.31 [LAPP-1111] THE iDOLM@STER PRODUCER MEETING 2018 What is TOP!!!!!!!!!!!!!？「みんなで選ぶ!ユニットソング!!」LIVE音源CD.rar,,imas,永久,待分享,,2060
resource-0adc67c90f6d,765AS,CD,1 Solo Remix Original CD,2022.07.09 [SACX-1083]THE IDOLM@STER 765PRO ALLSTARS LIVE SUNRICH COLORFUL Venue Original CD,,2022,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2022.07.09 [SACX-1083]THE IDOLM@STER 765PRO ALLSTARS LIVE SUNRICH COLORFUL Venue Original CD.rar,,imas,永久,待分享,,2070
resource-217d6b474d83,765AS,CD,1 Solo Remix Original CD,2023 THE IDOLM@STER M@STERS OF IDOL WORLD!!!!! 2023 なんどでも笑おう,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2023 THE IDOLM@STER M@STERS OF IDOL WORLD!!!!! 2023 なんどでも笑おう.rar,,imas,永久,待分享,,2080
resource-cb79cc1bcecc,765AS,CD,1 Solo Remix Original CD,2023.02.11 [SACX-1088] THE iDOLM@STER M@STERS OF IDOL WORLD!!!!! 2023 明日きみにJewel,,2023,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2023.02.11 [SACX-1088] THE iDOLM@STER M@STERS OF IDOL WORLD!!!!! 2023 明日きみにJewel.rar,,imas,永久,待分享,,2090
resource-0d7cc4135b5b,765AS,CD,1 Solo Remix Original CD,2025 THE IDOLM@STER 765 MILLIONSTARS HOTCHPOTCH FESTIV@L!! 2 会場オリジナルCD FLAC,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2025 THE IDOLM@STER 765 MILLIONSTARS HOTCHPOTCH FESTIV@L!! 2 会場オリジナルCD FLAC.rar,,imas,永久,待分享,,2100
resource-9828221d9667,765AS,CD,1 Solo Remix Original CD,"2025 THE IDOLM@STER 765PRO ALLSTARS LIVE NEVER END IDOL!!!!!!!!!!!!! 会場オリジナルCD『New Me, Continued  マジで…！？』",,,RAR,,"/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2025 THE IDOLM@STER 765PRO ALLSTARS LIVE NEVER END IDOL!!!!!!!!!!!!! 会場オリジナルCD『New Me, Continued  マジで…！？』.rar",,imas,永久,待分享,,2110
resource-5a196d1f213f,765AS,CD,1 Solo Remix Original CD,2025 アイ NEED YOU (FOR WONDERFUL STORY),,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/1 Solo Remix Original CD/2025 アイ NEED YOU (FOR WONDERFUL STORY).rar,,imas,永久,待分享,,2120
resource-0882f7907cb5,765AS,CD,2 Live Original CD,2016.07.28 [GES-15269] THE iDOLM@STER ボーカルCD リスアニ! LIVE 2016,,2016,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/2 Live Original CD/2016.07.28 [GES-15269] THE iDOLM@STER ボーカルCD リスアニ! LIVE 2016.rar,,imas,永久,待分享,,2130
resource-8dbbe6c5444f,765AS,CD,2 Live Original CD,2018.11.21 [LAPP-1107] THE iDOLM@STER 765 MILLIONSTARS HOTCHPOTCH FESTIV@L!! LIVE CD,,2018,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/2 Live Original CD/2018.11.21 [LAPP-1107] THE iDOLM@STER 765 MILLIONSTARS HOTCHPOTCH FESTIV@L!! LIVE CD.rar,,imas,永久,待分享,,2140
resource-34a3511832d7,765AS,CD,2 Live Original CD,2019.07.31 [LAPP-1111] THE iDOLM@STER PRODUCER MEETING 2018 What is TOP!!!!!!!!!!!!!？「みんなで選ぶ!ユニットソング!!」LIVE音源CD,,2019,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/2 Live Original CD/2019.07.31 [LAPP-1111] THE iDOLM@STER PRODUCER MEETING 2018 What is TOP!!!!!!!!!!!!!？「みんなで選ぶ!ユニットソング!!」LIVE音源CD.rar,,imas,永久,待分享,,2150
resource-703cf950a747,765AS,CD,2 Live Original CD,2022.07.09 [SACX-1083] THE iDOLM@STER 765PRO ALLSTARS LIVE SUNRICH COLORFUL,,2022,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[00Z] Live同捆CD&场限CD/2 Live Original CD/2022.07.09 [SACX-1083] THE iDOLM@STER 765PRO ALLSTARS LIVE SUNRICH COLORFUL.rar,,imas,永久,待分享,,2160
resource-40b65ff644bb,765AS,CD,[01] MASTERPIECE,THE IDOLM@STER MASTERPIECE 01,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[01] MASTERPIECE/THE IDOLM@STER MASTERPIECE 01.rar,,imas,永久,待分享,,2170
resource-49932b93fe5a,765AS,CD,[01] MASTERPIECE,THE IDOLM@STER MASTERPIECE 02,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[01] MASTERPIECE/THE IDOLM@STER MASTERPIECE 02.rar,,imas,永久,待分享,,2180
resource-64fac23e17f1,765AS,CD,[01] MASTERPIECE,THE IDOLM@STER MASTERPIECE 03,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[01] MASTERPIECE/THE IDOLM@STER MASTERPIECE 03.rar,,imas,永久,待分享,,2190
resource-c30a29a5d925,765AS,CD,[01] MASTERPIECE,THE IDOLM@STER MASTERPIECE 04,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[01] MASTERPIECE/THE IDOLM@STER MASTERPIECE 04.rar,,imas,永久,待分享,,2200
resource-063e3d3c7567,765AS,CD,[01] MASTERPIECE,THE IDOLM@STER MASTERPIECE 05,,,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[01] MASTERPIECE/THE IDOLM@STER MASTERPIECE 05.rar,,imas,永久,待分享,,2210
resource-f2f0b75b7a4f,765AS,CD,[02] MASTER BOX,[2006.07.19] THE iDOLM@STER MASTER BOX I (FLAC),,2006,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[02] MASTER BOX/[2006.07.19] THE iDOLM@STER MASTER BOX I (FLAC).rar,,imas,永久,待分享,,2220
resource-307cf0e0e622,765AS,CD,[02] MASTER BOX,[2007.04.04] THE iDOLM@STER MASTER BOX II (FLAC),,2007,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[02] MASTER BOX/[2007.04.04] THE iDOLM@STER MASTER BOX II (FLAC).rar,,imas,永久,待分享,,2230
resource-cfc7041b74d9,765AS,CD,[02] MASTER BOX,[2008.02.06] THE iDOLM@STER MASTER BOX I & II ENCORE (FLAC),,2008,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[02] MASTER BOX/[2008.02.06] THE iDOLM@STER MASTER BOX I & II ENCORE (FLAC).rar,,imas,永久,待分享,,2240
resource-645483f82bbe,765AS,CD,[02] MASTER BOX,[2008] THE IDOLM@STER MASTER BOX III Live For You!,,2008,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[02] MASTER BOX/[2008] THE IDOLM@STER MASTER BOX III Live For You!.rar,,imas,永久,待分享,,2250
resource-66a26ef6ee0a,765AS,CD,[02] MASTER BOX,[2008] THE IDOLM@STER MASTER BOX IV Live For You!,,2008,RAR,,/00-偶像大师 ALL IN ONE/1-765AS/本家CD/[02] MASTER BOX/[2008] THE IDOLM@STER MASTER BOX IV Live For You!.rar,,imas,永久,待分享,,2260
